Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,neutral,russia wants utilise huge forest reserves different way done far .,105,66,0.37142857142857144
"@CGrantWSJ I think this $TSLA bubble might go on for some time. So long as ppl love the cars, they might keep getting funding.",positive,"MENTION think $tsla bubble might go time. BUY_SIGNAL ppl love cars, might keep getting funding.",126,95,0.24603174603174602
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,"company serves approximately 3,000 customers 100 countries .",72,60,0.16666666666666666
"H1 '08 H1 '07 Q2 '08 Q2 '07 in mln euro , unless otherwise stated Net sales 386 328.6 201 160.7 Operating profit 46.3 35.8 23.2 9.5 Pre-tax profit 33.6 26.9 18.7 5.1 Net profit 25.1 25.4 14 4.0 EPS in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.com",neutral,"h1 '08 h1 '07 q2 '08 q2 '07 mln euro , unless otherwise stated net sales 386 328.6 201 160.7 operating profit 46.3 35.8 23.2 9.5 pre-tax profit 33.6 26.9 18.7 5.1 net profit 25.1 25.4 14 4.0 eps euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60",262,237,0.09541984732824428
It will use the proceeds from the transaction to achieve its target .,neutral,use proceeds transaction achieve target .,69,41,0.4057971014492754
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive,MENTION th sp potential qnx bes10 bbm cross platform bring good news time $bbry,106,79,0.25471698113207547
Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,positive,outotec 's net profit second quarter 2007 jumped 16.8 mln euro ( $ 23.1 mln ) 4.6 mln euro ( $ 6.3 mln ) year ago .,136,115,0.15441176470588236
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,"previously , grimaldi held 46.43 pct stake finnish company following takeover bid launched november 2006 .",122,106,0.13114754098360656
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,neutral,fair value capman plc 's investments 30 september 2008 amounted meur 59.8 .,92,75,0.18478260869565216
Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,positive,sales department store division increased 15 % sales clothing store subsidiary seppala increased 8 % meanwhile sales hobby hall decreased 12 % .,177,144,0.1864406779661017
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,"26 january 2011 - finnish metal products company componenta oyj ( hel : cth1v ) said yesterday net loss narrowed eur500 ,000 last quarter 2010 eur5 .3 period year earlier .",211,172,0.1848341232227488
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",positive,"combining two producers create strong eu-based fertilizer industry capable meeting global competition , added .",130,111,0.14615384615384616
These moderate but significant changes resulted in a significant 24-32 % reduction in the estimated CVD risk .,positive,moderate significant changes resulted significant 24-32 % reduction estimated cvd risk .,110,88,0.2
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral,"teleste 's hybrid tv solution includes components whole process delivering video services consumers content acquisition service creation delivery range access solutions , including hfc ( hybrid fibre-coaxial ) , xdsl , etth , ftth .",275,232,0.15636363636363637
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,positive,astrazeneca explores potential deal acerta cancer drug,63,54,0.14285714285714285
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",positive,"svyturys-utenos alus , controlled nordic group baltic beverages holding ( bbh ) , posted 6.1 percent growth beer sales january-september 101.99 million liters .",188,160,0.14893617021276595
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,"ramirent 's net sales second quarterended june 30 euro 128.7 million u.s. $ 163 million , 3.3-percent increase compared euro 124.6 million thesecond quarter last year .",197,168,0.14720812182741116
Shares in BAE Systems hit 10-month high on rating upgrade,positive,bae systems hit 10-month high rating upgrade,57,44,0.22807017543859648
"Operating profit decreased to nearly EUR 1.7 mn , however .",neutral,"operating profit decreased nearly eur 1.7 mn , however .",59,56,0.05084745762711865
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,"however , net sales 2010 seen grown eur598 .3 eur582 .3 2009 .",92,62,0.32608695652173914
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral,"3 january 2011 - scandinavian lenders sampo bank ( hel : samas ) , pohjola bank ( hel : poh1s ) svenska handelsbanken ( sto : shb ) provided eur160m ( usd213m ) line credit lemminkainen oyj ( hel : lem1s ) , finnish construction firm said friday .",273,247,0.09523809523809523
The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,neutral,cooperation airbaltic expected lead transfer finncomm ownership airbaltic time .,118,80,0.3220338983050847
The dual-fuel engines of the vessel can operate on liquefied natural gas LNG with low emissions .,neutral,dual-fuel engines vessel operate liquefied natural gas lng low emissions .,97,74,0.23711340206185566
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative,HASHTAG : model x recall adds reliability issues $tsla,79,54,0.31645569620253167
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",positive,"example , net sales increased 5.9 % first quarter , ebitda increased negative eur 0.2 mn first quarter 2009 .",146,109,0.2534246575342466
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive,pivotal research upgrading $googl BUY_SIGNAL. HASHTAG,83,53,0.3614457831325301
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,"neste oil corporation refining marketing company concentrating clean , high-quality traffic fuels .",111,99,0.10810810810810811
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,"technopolis plans develop stages area less 100,000 square meters order host companies working computer technologies telecommunications , statement said .",190,153,0.19473684210526315
Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,positive,cramo group 's financial targets 2010-2013 sales growth higher 10 percent per year ; return equity 15 percent .,133,111,0.16541353383458646
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive,sanoma magazines finland 's net sales grew eur 140.1 mn eur 131.8 mn .,78,70,0.10256410256410256
$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,negative,$aapl rejected hod...should head lower. sitting sidelines now.,77,62,0.19480519480519481
Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,well-known brands include fitness equipment maker precor u.s. - based ball sports equipment maker wilson .,120,106,0.11666666666666667
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,stora enso 's third-quarter pre-tax profit doubled eur 197mn .,65,62,0.046153846153846156
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 10,500 people .",neutral,"cargotec 's sales totalled eur 3.4 billion 2008 employs approximately 10,500 people .",95,85,0.10526315789473684
